,born,bornCity,bornCountry,bornCountryCode,died,diedCity,diedCountry,diedCountryCode,firstname,gender,id,prizes,surname,affiliations,category,motivation,overallMotivation,share,year
86,1906-07-02,Strassburg (now Strasbourg),Germany (now France),FR,2005-03-06,"Ithaca, NY",USA,US,Hans Albrecht,male,88,"[{'year': '1967', 'category': 'physics', 'share': '1', 'motivation': '""for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars""', 'affiliations': [{'name': 'Cornell University', 'city': 'Ithaca, NY', 'country': 'USA'}]}]",Bethe,"[{'name': 'Cornell University', 'city': 'Ithaca, NY', 'country': 'USA'}]",physics,"""for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars""",,1,1967
87,1911-06-13,"San Francisco, CA",USA,US,1988-09-01,"Berkeley, CA",USA,US,Luis Walter,male,89,"[{'year': '1968', 'category': 'physics', 'share': '1', 'motivation': '""for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis""', 'affiliations': [{'name': 'University of California', 'city': 'Berkeley, CA', 'country': 'USA'}]}]",Alvarez,"[{'name': 'University of California', 'city': 'Berkeley, CA', 'country': 'USA'}]",physics,"""for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis""",,1,1968
88,1929-09-15,"New York, NY",USA,US,0000-00-00,,,,Murray,male,90,"[{'year': '1969', 'category': 'physics', 'share': '1', 'motivation': '""for his contributions and discoveries concerning the classification of elementary particles and their interactions""', 'affiliations': [{'name': 'California Institute of Technology (Caltech)', 'city': 'Pasadena, CA', 'country': 'USA'}]}]",Gell-Mann,"[{'name': 'California Institute of Technology (Caltech)', 'city': 'Pasadena, CA', 'country': 'USA'}]",physics,"""for his contributions and discoveries concerning the classification of elementary particles and their interactions""",,1,1969
89,1908-05-30,Norrköping,Sweden,SE,1995-04-02,Djursholm,Sweden,SE,Hannes Olof Gösta,male,91,"[{'year': '1970', 'category': 'physics', 'share': '2', 'motivation': '""for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics""', 'affiliations': [{'name': 'Royal Institute of Technology', 'city': 'Stockholm', 'country': 'Sweden'}]}]",Alfvén,"[{'name': 'Royal Institute of Technology', 'city': 'Stockholm', 'country': 'Sweden'}]",physics,"""for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics""",,2,1970
90,1904-11-22,Lyon,France,FR,2000-11-17,Brive-Corrèze,France,FR,Louis Eugène Félix,male,92,"[{'year': '1970', 'category': 'physics', 'share': '2', 'motivation': '""for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics""', 'affiliations': [{'name': 'University of Grenoble', 'city': 'Grenoble', 'country': 'France'}]}]",Néel,"[{'name': 'University of Grenoble', 'city': 'Grenoble', 'country': 'France'}]",physics,"""for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics""",,2,1970
91,1900-06-05,Budapest,Hungary,HU,1979-02-08,London,United Kingdom,GB,Dennis,male,93,"[{'year': '1971', 'category': 'physics', 'share': '1', 'motivation': '""for his invention and development of the holographic method""', 'affiliations': [{'name': 'Imperial College', 'city': 'London', 'country': 'United Kingdom'}]}]",Gabor,"[{'name': 'Imperial College', 'city': 'London', 'country': 'United Kingdom'}]",physics,"""for his invention and development of the holographic method""",,1,1971
92,1930-02-28,"New York, NY",USA,US,0000-00-00,,,,Leon Neil,male,95,"[{'year': '1972', 'category': 'physics', 'share': '3', 'motivation': '""for their jointly developed theory of superconductivity, usually called the BCS-theory""', 'affiliations': [{'name': 'Brown University', 'city': 'Providence, RI', 'country': 'USA'}]}]",Cooper,"[{'name': 'Brown University', 'city': 'Providence, RI', 'country': 'USA'}]",physics,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",,3,1972
93,1931-05-31,"Oak Park, IL",USA,US,0000-00-00,,,,John Robert,male,96,"[{'year': '1972', 'category': 'physics', 'share': '3', 'motivation': '""for their jointly developed theory of superconductivity, usually called the BCS-theory""', 'affiliations': [{'name': 'University of Pennsylvania', 'city': 'Philadelphia, PA', 'country': 'USA'}]}]",Schrieffer,"[{'name': 'University of Pennsylvania', 'city': 'Philadelphia, PA', 'country': 'USA'}]",physics,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",,3,1972
94,1925-03-12,Osaka,Japan,JP,0000-00-00,,,,Leo,male,97,"[{'year': '1973', 'category': 'physics', 'share': '4', 'motivation': '""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively""', 'affiliations': [{'name': 'IBM Thomas J. Watson Research Center', 'city': 'Yorktown Heights, NY', 'country': 'USA'}]}]",Esaki,"[{'name': 'IBM Thomas J. Watson Research Center', 'city': 'Yorktown Heights, NY', 'country': 'USA'}]",physics,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively""",,4,1973
95,1929-04-05,Bergen,Norway,NO,0000-00-00,,,,Ivar,male,98,"[{'year': '1973', 'category': 'physics', 'share': '4', 'motivation': '""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively""', 'affiliations': [{'name': 'General Electric Company', 'city': 'Schenectady, NY', 'country': 'USA'}]}]",Giaever,"[{'name': 'General Electric Company', 'city': 'Schenectady, NY', 'country': 'USA'}]",physics,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively""",,4,1973
96,1940-01-04,Cardiff,United Kingdom,GB,0000-00-00,,,,Brian David,male,99,"[{'year': '1973', 'category': 'physics', 'share': '2', 'motivation': '""for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects""', 'affiliations': [{'name': 'University of Cambridge', 'city': 'Cambridge', 'country': 'United Kingdom'}]}]",Josephson,"[{'name': 'University of Cambridge', 'city': 'Cambridge', 'country': 'United Kingdom'}]",physics,"""for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects""",,2,1973
97,1918-09-27,Brighton,United Kingdom,GB,1984-10-14,Cambridge,United Kingdom,GB,Sir Martin,male,100,"[{'year': '1974', 'category': 'physics', 'share': '2', 'motivation': '""for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars""', 'affiliations': [{'name': 'University of Cambridge', 'city': 'Cambridge', 'country': 'United Kingdom'}]}]",Ryle,"[{'name': 'University of Cambridge', 'city': 'Cambridge', 'country': 'United Kingdom'}]",physics,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars""",,2,1974
98,1924-05-11,Fowey,United Kingdom,GB,0000-00-00,,,,Antony,male,101,"[{'year': '1974', 'category': 'physics', 'share': '2', 'motivation': '""for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars""', 'affiliations': [{'name': 'University of Cambridge', 'city': 'Cambridge', 'country': 'United Kingdom'}]}]",Hewish,"[{'name': 'University of Cambridge', 'city': 'Cambridge', 'country': 'United Kingdom'}]",physics,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars""",,2,1974
99,1922-06-19,Copenhagen,Denmark,DK,2009-09-08,Copenhagen,Denmark,DK,Aage Niels,male,102,"[{'year': '1975', 'category': 'physics', 'share': '3', 'motivation': '""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""', 'affiliations': [{'name': 'Niels Bohr Institute', 'city': 'Copenhagen', 'country': 'Denmark'}]}]",Bohr,"[{'name': 'Niels Bohr Institute', 'city': 'Copenhagen', 'country': 'Denmark'}]",physics,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",,3,1975
100,1926-07-09,"Chicago, IL",USA,US,0000-00-00,,,,Ben Roy,male,103,"[{'year': '1975', 'category': 'physics', 'share': '3', 'motivation': '""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""', 'affiliations': [{'name': 'Nordita', 'city': 'Copenhagen', 'country': 'Denmark'}]}]",Mottelson,"[{'name': 'Nordita', 'city': 'Copenhagen', 'country': 'Denmark'}]",physics,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",,3,1975
101,1917-12-09,"Council, ID",USA,US,1986-03-31,"Yonkers, NY",USA,US,Leo James,male,104,"[{'year': '1975', 'category': 'physics', 'share': '3', 'motivation': '""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""', 'affiliations': [{'name': 'Columbia University', 'city': 'New York, NY', 'country': 'USA'}]}]",Rainwater,"[{'name': 'Columbia University', 'city': 'New York, NY', 'country': 'USA'}]",physics,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",,3,1975
102,1931-03-22,"Brooklyn, NY",USA,US,0000-00-00,,,,Burton,male,105,"[{'year': '1976', 'category': 'physics', 'share': '2', 'motivation': '""for their pioneering work in the discovery of a heavy elementary particle of a new kind""', 'affiliations': [{'name': 'Stanford Linear Accelerator Center', 'city': 'Stanford, CA', 'country': 'USA'}]}]",Richter,"[{'name': 'Stanford Linear Accelerator Center', 'city': 'Stanford, CA', 'country': 'USA'}]",physics,"""for their pioneering work in the discovery of a heavy elementary particle of a new kind""",,2,1976
103,1936-01-27,"Ann Arbor, MI",USA,US,0000-00-00,,,,Samuel Chao Chung,male,106,"[{'year': '1976', 'category': 'physics', 'share': '2', 'motivation': '""for their pioneering work in the discovery of a heavy elementary particle of a new kind""', 'affiliations': [{'name': 'Massachusetts Institute of Technology (MIT)', 'city': 'Cambridge, MA', 'country': 'USA'}]}]",Ting,"[{'name': 'Massachusetts Institute of Technology (MIT)', 'city': 'Cambridge, MA', 'country': 'USA'}]",physics,"""for their pioneering work in the discovery of a heavy elementary particle of a new kind""",,2,1976
104,1923-12-13,"Indianapolis, IN",USA,US,0000-00-00,,,,Philip Warren,male,107,"[{'year': '1977', 'category': 'physics', 'share': '3', 'motivation': '""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""', 'affiliations': [{'name': 'Bell Telephone Laboratories', 'city': 'Murray Hill, NJ', 'country': 'USA'}]}]",Anderson,"[{'name': 'Bell Telephone Laboratories', 'city': 'Murray Hill, NJ', 'country': 'USA'}]",physics,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",,3,1977
105,1905-09-30,Leeds,United Kingdom,GB,1996-08-08,Milton Keynes,United Kingdom,GB,Sir Nevill Francis,male,108,"[{'year': '1977', 'category': 'physics', 'share': '3', 'motivation': '""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""', 'affiliations': [{'name': 'University of Cambridge', 'city': 'Cambridge', 'country': 'United Kingdom'}]}]",Mott,"[{'name': 'University of Cambridge', 'city': 'Cambridge', 'country': 'United Kingdom'}]",physics,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",,3,1977
106,1899-03-13,"Middletown, CT",USA,US,1980-10-27,"Cambridge, MA",USA,US,John Hasbrouck,male,109,"[{'year': '1977', 'category': 'physics', 'share': '3', 'motivation': '""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""', 'affiliations': [{'name': 'Harvard University', 'city': 'Cambridge, MA', 'country': 'USA'}]}]",van Vleck,"[{'name': 'Harvard University', 'city': 'Cambridge, MA', 'country': 'USA'}]",physics,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",,3,1977
107,1894-07-09,Kronshtadt,Russian Empire (now Russia),RU,1984-04-08,Moscow,USSR (now Russia),RU,Pyotr Leonidovich,male,110,"[{'year': '1978', 'category': 'physics', 'share': '2', 'motivation': '""for his basic inventions and discoveries in the area of low-temperature physics""', 'affiliations': [{'name': 'Academy of Sciences', 'city': 'Moscow', 'country': 'USSR'}]}]",Kapitsa,"[{'name': 'Academy of Sciences', 'city': 'Moscow', 'country': 'USSR'}]",physics,"""for his basic inventions and discoveries in the area of low-temperature physics""",,2,1978
108,1933-04-26,Munich,Germany,DE,0000-00-00,,,,Arno Allan,male,111,"[{'year': '1978', 'category': 'physics', 'share': '4', 'motivation': '""for their discovery of cosmic microwave background radiation""', 'affiliations': [{'name': 'Bell Laboratories', 'city': 'Holmdel, NJ', 'country': 'USA'}]}]",Penzias,"[{'name': 'Bell Laboratories', 'city': 'Holmdel, NJ', 'country': 'USA'}]",physics,"""for their discovery of cosmic microwave background radiation""",,4,1978
109,1936-01-10,"Houston, TX",USA,US,0000-00-00,,,,Robert Woodrow,male,112,"[{'year': '1978', 'category': 'physics', 'share': '4', 'motivation': '""for their discovery of cosmic microwave background radiation""', 'affiliations': [{'name': 'Bell Laboratories', 'city': 'Holmdel, NJ', 'country': 'USA'}]}]",Wilson,"[{'name': 'Bell Laboratories', 'city': 'Holmdel, NJ', 'country': 'USA'}]",physics,"""for their discovery of cosmic microwave background radiation""",,4,1978
110,1932-12-05,"New York, NY",USA,US,0000-00-00,,,,Sheldon Lee,male,113,"[{'year': '1979', 'category': 'physics', 'share': '3', 'motivation': '""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""', 'affiliations': [{'name': 'Harvard University, Lyman Laboratory', 'city': 'Cambridge, MA', 'country': 'USA'}]}]",Glashow,"[{'name': 'Harvard University, Lyman Laboratory', 'city': 'Cambridge, MA', 'country': 'USA'}]",physics,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",,3,1979
111,1926-01-29,Jhang Maghi&#257;na,India (now Pakistan),PK,1996-11-21,Oxford,United Kingdom,GB,Abdus,male,114,"[{'year': '1979', 'category': 'physics', 'share': '3', 'motivation': '""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""', 'affiliations': [{'name': 'International Centre for Theoretical Physics', 'city': 'Trieste', 'country': 'Italy'}, {'name': 'Imperial College', 'city': 'London', 'country': 'United Kingdom'}]}]",Salam,"[{'name': 'International Centre for Theoretical Physics', 'city': 'Trieste', 'country': 'Italy'}, {'name': 'Imperial College', 'city': 'London', 'country': 'United Kingdom'}]",physics,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",,3,1979
112,1933-05-03,"New York, NY",USA,US,0000-00-00,,,,Steven,male,115,"[{'year': '1979', 'category': 'physics', 'share': '3', 'motivation': '""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""', 'affiliations': [{'name': 'Harvard University', 'city': 'Cambridge, MA', 'country': 'USA'}]}]",Weinberg,"[{'name': 'Harvard University', 'city': 'Cambridge, MA', 'country': 'USA'}]",physics,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",,3,1979
113,1931-09-29,"Chicago, IL",USA,US,2016-08-25,"St. Paul, MN",USA,US,James Watson,male,116,"[{'year': '1980', 'category': 'physics', 'share': '2', 'motivation': '""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""', 'affiliations': [{'name': 'University of Chicago', 'city': 'Chicago, IL', 'country': 'USA'}]}]",Cronin,"[{'name': 'University of Chicago', 'city': 'Chicago, IL', 'country': 'USA'}]",physics,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",,2,1980
114,1923-03-10,"Merriman, NE",USA,US,2015-02-05,"Princeton, NJ",USA,US,Val Logsdon,male,117,"[{'year': '1980', 'category': 'physics', 'share': '2', 'motivation': '""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""', 'affiliations': [{'name': 'Princeton University', 'city': 'Princeton, NJ', 'country': 'USA'}]}]",Fitch,"[{'name': 'Princeton University', 'city': 'Princeton, NJ', 'country': 'USA'}]",physics,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",,2,1980
115,1920-03-11,Dordrecht,the Netherlands,NL,2017-09-05,"Tucson, AZ",USA,US,Nicolaas,male,118,"[{'year': '1981', 'category': 'physics', 'share': '4', 'motivation': '""for their contribution to the development of laser spectroscopy""', 'affiliations': [{'name': 'Harvard University', 'city': 'Cambridge, MA', 'country': 'USA'}]}]",Bloembergen,"[{'name': 'Harvard University', 'city': 'Cambridge, MA', 'country': 'USA'}]",physics,"""for their contribution to the development of laser spectroscopy""",,4,1981
116,1921-05-05,"Mount Verno, NY",USA,US,1999-04-28,"Palo Alto, CA",USA,US,Arthur Leonard,male,119,"[{'year': '1981', 'category': 'physics', 'share': '4', 'motivation': '""for their contribution to the development of laser spectroscopy""', 'affiliations': [{'name': 'Stanford University', 'city': 'Stanford, CA', 'country': 'USA'}]}]",Schawlow,"[{'name': 'Stanford University', 'city': 'Stanford, CA', 'country': 'USA'}]",physics,"""for their contribution to the development of laser spectroscopy""",,4,1981
117,1918-04-20,Lund,Sweden,SE,2007-07-20,Ängelholm,Sweden,SE,Kai M.,male,120,"[{'year': '1981', 'category': 'physics', 'share': '2', 'motivation': '""for his contribution to the development of high-resolution electron spectroscopy""', 'affiliations': [{'name': 'Uppsala University', 'city': 'Uppsala', 'country': 'Sweden'}]}]",Siegbahn,"[{'name': 'Uppsala University', 'city': 'Uppsala', 'country': 'Sweden'}]",physics,"""for his contribution to the development of high-resolution electron spectroscopy""",,2,1981
118,1936-06-08,"Waltham, MA",USA,US,2013-06-15,"Saco, ME",USA,US,Kenneth G.,male,121,"[{'year': '1982', 'category': 'physics', 'share': '1', 'motivation': '""for his theory for critical phenomena in connection with phase transitions""', 'affiliations': [{'name': 'Cornell University', 'city': 'Ithaca, NY', 'country': 'USA'}]}]",Wilson,"[{'name': 'Cornell University', 'city': 'Ithaca, NY', 'country': 'USA'}]",physics,"""for his theory for critical phenomena in connection with phase transitions""",,1,1982
119,1910-10-19,Lahore,India (now Pakistan),PK,1995-08-21,"Chicago, IL",USA,US,Subramanyan,male,122,"[{'year': '1983', 'category': 'physics', 'share': '2', 'motivation': '""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars""', 'affiliations': [{'name': 'University of Chicago', 'city': 'Chicago, IL', 'country': 'USA'}]}]",Chandrasekhar,"[{'name': 'University of Chicago', 'city': 'Chicago, IL', 'country': 'USA'}]",physics,"""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars""",,2,1983
120,1911-08-09,"Pittsburgh, PA",USA,US,1995-03-14,"Pasadena, CA",USA,US,William Alfred,male,123,"[{'year': '1983', 'category': 'physics', 'share': '2', 'motivation': '""for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe""', 'affiliations': [{'name': 'California Institute of Technology (Caltech)', 'city': 'Pasadena, CA', 'country': 'USA'}]}]",Fowler,"[{'name': 'California Institute of Technology (Caltech)', 'city': 'Pasadena, CA', 'country': 'USA'}]",physics,"""for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe""",,2,1983
121,1934-03-31,Gorizia,Italy,IT,0000-00-00,Geneva,Switzerland,CH,Carlo,male,124,"[{'year': '1984', 'category': 'physics', 'share': '2', 'motivation': '""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction""', 'affiliations': [{'name': 'CERN', 'city': 'Geneva', 'country': 'Switzerland'}]}]",Rubbia,"[{'name': 'CERN', 'city': 'Geneva', 'country': 'Switzerland'}]",physics,"""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction""",,2,1984
122,1925-11-24,the Hague,the Netherlands,NL,2011-03-04,Geneva,Switzerland,CH,Simon,male,125,"[{'year': '1984', 'category': 'physics', 'share': '2', 'motivation': '""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction""', 'affiliations': [{'name': 'CERN', 'city': 'Geneva', 'country': 'Switzerland'}]}]",van der Meer,"[{'name': 'CERN', 'city': 'Geneva', 'country': 'Switzerland'}]",physics,"""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction""",,2,1984
123,1943-06-28,Schroda,German-occupied Poland (now Poland),PL,0000-00-00,,,,Klaus,male,126,"[{'year': '1985', 'category': 'physics', 'share': '1', 'motivation': '""for the discovery of the quantized Hall effect""', 'affiliations': [{'name': 'Max-Planck-Institut für Festkörperforschung', 'city': 'Stuttgart', 'country': 'Federal Republic of Germany'}]}]",von Klitzing,"[{'name': 'Max-Planck-Institut für Festkörperforschung', 'city': 'Stuttgart', 'country': 'Federal Republic of Germany'}]",physics,"""for the discovery of the quantized Hall effect""",,1,1985
124,1906-12-25,Heidelberg,Germany,DE,1988-05-27,West Berlin,Germany,DE,Ernst,male,127,"[{'year': '1986', 'category': 'physics', 'share': '2', 'motivation': '""for his fundamental work in electron optics, and for the design of the first electron microscope""', 'affiliations': [{'name': 'Fritz-Haber-Institut der Max-Planck-Gesellschaft', 'city': 'Berlin', 'country': 'Federal Republic of Germany'}]}]",Ruska,"[{'name': 'Fritz-Haber-Institut der Max-Planck-Gesellschaft', 'city': 'Berlin', 'country': 'Federal Republic of Germany'}]",physics,"""for his fundamental work in electron optics, and for the design of the first electron microscope""",,2,1986
125,1947-07-20,Frankfurt-on-the-Main,West Germany (now Germany),DE,0000-00-00,,,,Gerd,male,128,"[{'year': '1986', 'category': 'physics', 'share': '4', 'motivation': '""for their design of the scanning tunneling microscope""', 'affiliations': [{'name': 'IBM Zurich Research Laboratory', 'city': 'Rüschlikon', 'country': 'Switzerland'}]}]",Binnig,"[{'name': 'IBM Zurich Research Laboratory', 'city': 'Rüschlikon', 'country': 'Switzerland'}]",physics,"""for their design of the scanning tunneling microscope""",,4,1986
126,1933-06-06,Buchs,Switzerland,CH,2013-05-16,Wollerau,Switzerland,CH,Heinrich,male,129,"[{'year': '1986', 'category': 'physics', 'share': '4', 'motivation': '""for their design of the scanning tunneling microscope""', 'affiliations': [{'name': 'IBM Zurich Research Laboratory', 'city': 'Rüschlikon', 'country': 'Switzerland'}]}]",Rohrer,"[{'name': 'IBM Zurich Research Laboratory', 'city': 'Rüschlikon', 'country': 'Switzerland'}]",physics,"""for their design of the scanning tunneling microscope""",,4,1986
127,1950-05-16,Neuenkirchen,West Germany (now Germany),DE,0000-00-00,,,,J. Georg,male,130,"[{'year': '1987', 'category': 'physics', 'share': '2', 'motivation': '""for their important break-through in the discovery of superconductivity in ceramic materials""', 'affiliations': [{'name': 'IBM Zurich Research Laboratory', 'city': 'Rüschlikon', 'country': 'Switzerland'}]}]",Bednorz,"[{'name': 'IBM Zurich Research Laboratory', 'city': 'Rüschlikon', 'country': 'Switzerland'}]",physics,"""for their important break-through in the discovery of superconductivity in ceramic materials""",,2,1987
128,1927-04-20,Basel,Switzerland,CH,0000-00-00,,,,K. Alexander,male,131,"[{'year': '1987', 'category': 'physics', 'share': '2', 'motivation': '""for their important break-through in the discovery of superconductivity in ceramic materials""', 'affiliations': [{'name': 'IBM Zurich Research Laboratory', 'city': 'Rüschlikon', 'country': 'Switzerland'}]}]",Müller,"[{'name': 'IBM Zurich Research Laboratory', 'city': 'Rüschlikon', 'country': 'Switzerland'}]",physics,"""for their important break-through in the discovery of superconductivity in ceramic materials""",,2,1987
129,1922-07-15,"New York, NY",USA,US,0000-00-00,,,,Leon M.,male,132,"[{'year': '1988', 'category': 'physics', 'share': '3', 'motivation': '""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""', 'affiliations': [{'name': 'Fermi National Accelerator Laboratory', 'city': 'Batavia, IL', 'country': 'USA'}]}]",Lederman,"[{'name': 'Fermi National Accelerator Laboratory', 'city': 'Batavia, IL', 'country': 'USA'}]",physics,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",,3,1988
130,1932-11-02,"New York, NY",USA,US,2006-08-28,"Twin Falls, ID",USA,US,Melvin,male,133,"[{'year': '1988', 'category': 'physics', 'share': '3', 'motivation': '""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""', 'affiliations': [{'name': 'Digital Pathways, Inc.', 'city': 'Mountain View, CA', 'country': 'USA'}]}]",Schwartz,"[{'name': 'Digital Pathways, Inc.', 'city': 'Mountain View, CA', 'country': 'USA'}]",physics,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",,3,1988
131,1921-05-25,Bad Kissingen,Germany,DE,0000-00-00,,,,Jack,male,134,"[{'year': '1988', 'category': 'physics', 'share': '3', 'motivation': '""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""', 'affiliations': [{'name': 'CERN', 'city': 'Geneva', 'country': 'Switzerland'}]}]",Steinberger,"[{'name': 'CERN', 'city': 'Geneva', 'country': 'Switzerland'}]",physics,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",,3,1988
132,1915-08-27,"Washington, DC",USA,US,2011-11-04,"Wayland, MA",USA,US,Norman F.,male,135,"[{'year': '1989', 'category': 'physics', 'share': '2', 'motivation': '""for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks""', 'affiliations': [{'name': 'Harvard University', 'city': 'Cambridge, MA', 'country': 'USA'}]}]",Ramsey,"[{'name': 'Harvard University', 'city': 'Cambridge, MA', 'country': 'USA'}]",physics,"""for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks""",,2,1989
133,1922-09-09,Görlitz,Prussia (now Germany),DE,2017-03-07,"Seattle, WA",USA,US,Hans G.,male,136,"[{'year': '1989', 'category': 'physics', 'share': '4', 'motivation': '""for the development of the ion trap technique""', 'affiliations': [{'name': 'University of Washington', 'city': 'Seattle, WA', 'country': 'USA'}]}]",Dehmelt,"[{'name': 'University of Washington', 'city': 'Seattle, WA', 'country': 'USA'}]",physics,"""for the development of the ion trap technique""",,4,1989
134,1913-08-10,Lorenzkirch,Germany,DE,1993-12-07,Bonn,Germany,DE,Wolfgang,male,137,"[{'year': '1989', 'category': 'physics', 'share': '4', 'motivation': '""for the development of the ion trap technique""', 'affiliations': [{'name': 'University of Bonn', 'city': 'Bonn', 'country': 'Federal Republic of Germany'}]}]",Paul,"[{'name': 'University of Bonn', 'city': 'Bonn', 'country': 'Federal Republic of Germany'}]",physics,"""for the development of the ion trap technique""",,4,1989
135,1930-03-28,"Chicago, IL",USA,US,0000-00-00,,,,Jerome I.,male,138,"[{'year': '1990', 'category': 'physics', 'share': '3', 'motivation': '""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics""', 'affiliations': [{'name': 'Massachusetts Institute of Technology (MIT)', 'city': 'Cambridge, MA', 'country': 'USA'}]}]",Friedman,"[{'name': 'Massachusetts Institute of Technology (MIT)', 'city': 'Cambridge, MA', 'country': 'USA'}]",physics,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics""",,3,1990
